volatility,method,option_type,price,delta,gamma,vega,vega_per_1pct_vol,theta,theta_per_day,rho,rho_per_1pct_rate,spot_bump,vol_bump,rate_bump,time_bump,n_paths
0.05,black_scholes,call,5.283268987649919,0.845633762277977,0.04721680730982314,23.277069399023986,0.23277069399023986,-4.562235736592086,-0.01249927599066325,79.44855485362723,0.7944855485362723,1.0,0.01,0.0001,0.0027397260273972603,250000
0.1,black_scholes,call,6.804957708822158,0.708469314812735,0.03427973494844849,34.25457084951127,0.3425457084951127,-4.918674609657749,-0.013475820848377396,64.0790700040128,0.6407907000401281,1.0,0.01,0.0001,0.0027397260273972603,250000
0.15,black_scholes,call,8.591658312089159,0.6583338255286755,0.02446331270223112,36.694239259625405,0.36694239259625405,-5.615586416956599,-0.015385168265634519,57.25689174848725,0.5725689174848725,1.0,0.01,0.0001,0.0027397260273972603,250000
0.2,black_scholes,call,10.450583572185565,0.6367446949029052,0.018759720697865134,37.52098305590863,0.3752098305590863,-6.414031273049581,-0.01757268841931392,53.23248077413467,0.5323248077413467,1.0,0.01,0.0001,0.0027397260273972603,250000
0.25,black_scholes,call,12.335998930368717,0.627351455641012,0.015135732270096014,37.840618712186824,0.37840618712186824,-7.250499995052628,-0.019864383548089393,50.40494698871356,0.5040494698871356,1.0,0.01,0.0001,0.0027397260273972603,250000
0.3,black_scholes,call,14.231254785985819,0.6242084056517818,0.012647255227754783,37.94254923028326,0.3794254923028326,-8.101195607678005,-0.022195056459391793,48.19391765153114,0.4819391765153114,1.0,0.01,0.0001,0.0027397260273972603,250000
0.35,black_scholes,call,16.128428881575893,0.6246688888901595,0.010836611037696287,37.928491414470855,0.37928491414470855,-8.95467089167962,-0.024533344908711285,46.341905704920805,0.46341905704920805,1.0,0.01,0.0001,0.0027397260273972603,250000
0.39999999999999997,black_scholes,call,18.02295145021668,0.6273808881975391,0.009460404901822983,37.84164297011472,0.3784164297011472,-9.804304075044445,-0.02686110705491629,44.71799475386007,0.4471799475386007,1.0,0.01,0.0001,0.0027397260273972603,250000
0.44999999999999996,black_scholes,call,19.911769631467685,0.6315820674397656,0.008378490347567435,37.70298305172304,0.3770298305172304,-10.645683882412804,-0.029166257212089874,43.24887620128948,0.43248876201289477,1.0,0.01,0.0001,0.0027397260273972603,250000
0.49999999999999994,black_scholes,call,21.79260421286685,0.6368093885202022,0.007504843814452045,37.5238101584376,0.375238101584376,-11.475541397033204,-0.03143983944392659,41.89046076181313,0.4189046076181313,1.0,0.01,0.0001,0.0027397260273972603,250000
0.5499999999999999,black_scholes,call,23.663609944142394,0.6427647159630858,0.006783873597903778,37.31075557185193,0.3731075557185193,-12.291259894309725,-0.03367468464194445,40.61474430827161,0.4061474430827161,1.0,0.01,0.0001,0.0027397260273972603,250000
0.6,black_scholes,call,25.523205665609503,0.6492468116556012,0.006178112794543722,37.06802056346312,0.3706802056346312,-13.090629524788309,-0.03586473842407756,39.403162883040466,0.39403162883040466,1.0,0.01,0.0001,0.0027397260273972603,250000
