volatility,mc_price,bs_price,absolute_error,standard_error,ci_95_low,ci_95_high,n_paths,antithetic
0.05,5.2907265467799265,5.283268987649919,0.007457559130007674,0.013899035340136574,5.263484437513259,5.317968656046594,100000,True
0.1,6.806007816594872,6.804957708822158,0.0010501077727136376,0.0244476585571222,6.758090405822912,6.853925227366831,100000,True
0.15,8.591590935692796,8.591658312089159,6.737639636256176e-05,0.03510006502280232,8.522794808248104,8.660387063137488,100000,True
0.2,10.457859641567872,10.450583572185565,0.007276069382307071,0.046526454703300905,10.366667790349402,10.549051492786342,100000,True
0.25,12.351417569773709,12.335998930368717,0.015418639404991552,0.058638382538603276,12.236486339998047,12.46634879954937,100000,True
0.3,14.272624297154072,14.231254785985819,0.041369511168253936,0.07126048477728486,14.132953746990594,14.41229484731755,100000,True
0.35,16.00788160126124,16.128428881575893,0.12054728031465345,0.08387430440306269,15.843487964631237,16.17227523789124,100000,True
0.39999999999999997,18.038212387132706,18.02295145021668,0.015260936916025258,0.09921926979219453,17.843742618340006,18.232682155925406,100000,True
0.44999999999999996,19.840894935793475,19.911769631467685,0.07087469567420968,0.1141272416555592,19.61720554214858,20.06458432943837,100000,True
0.49999999999999994,21.77179202824205,21.79260421286685,0.02081218462479839,0.1301812649303406,21.516636748978584,22.026947307505516,100000,True
0.5499999999999999,23.642995323737573,23.663609944142394,0.020614620404820982,0.14762511080136803,23.353650106566892,23.932340540908253,100000,True
0.6,25.475988797444412,25.523205665609503,0.04721686816509063,0.16511173513271962,25.15236979658428,25.799607798304542,100000,True
